,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kalmunai,7.42,81.82,78.4,85,36,8.57,LK,1611975828
1,Rikitea,-23.12,-134.97,80.46,70,38,9.26,PF,1611975828
2,Santa Maria,-29.68,-53.81,75.2,83,0,9.22,BR,1611975567
3,Butembo,0.15,29.28,59.54,69,12,2.66,CD,1611975829
4,Cidreira,-30.18,-50.21,75.16,89,39,4.92,BR,1611975829
5,Hermanus,-34.42,19.23,61.0,91,72,3.29,ZA,1611975829
6,Phek,25.67,94.5,52.48,67,0,0.31,IN,1611975830
7,Sladkovo,55.53,70.34,8.38,94,58,6.87,RU,1611975830
8,Colares,38.8,-9.45,59.0,100,100,20.33,PT,1611975830
9,Nemuro,43.32,145.57,30.2,86,75,6.91,JP,1611975757
10,Busselton,-33.65,115.33,82.0,45,0,4.0,AU,1611975627
11,Valparaíso,-33.04,-71.63,66.0,79,100,6.38,CL,1611975726
12,Zunyi,27.69,106.91,42.93,71,100,3.42,CN,1611975601
13,Russell,32.35,-85.2,44.6,80,1,0.6,US,1611975608
14,Lüderitz,-26.65,15.16,65.17,53,0,22.37,NA,1611975833
15,Mataura,-46.19,168.86,70.48,36,0,0.94,NZ,1611975833
16,Vao,-22.67,167.48,76.35,74,41,20.15,NC,1611975833
17,Guerrero Negro,27.98,-114.06,60.28,75,4,15.5,MX,1611975834
18,Yellowknife,62.46,-114.35,-18.0,76,1,9.22,CA,1611975834
19,Nikolskoye,59.7,30.79,30.2,93,90,8.95,RU,1611975834
20,Carnarvon,-24.87,113.63,105.8,21,0,18.41,AU,1611975835
21,Hambantota,6.12,81.12,75.2,100,20,4.61,LK,1611975835
22,Saint-Philippe,-21.36,55.77,78.8,57,0,6.91,RE,1611975836
23,Sinnamary,5.38,-52.95,77.29,88,96,12.84,GF,1611975836
24,Nome,64.5,-165.41,-2.2,60,1,21.85,US,1611975836
25,Kapaa,22.08,-159.32,75.2,78,40,16.11,US,1611975837
26,Tautira,-17.73,-149.15,82.4,69,75,13.8,PF,1611975837
27,Souillac,-20.52,57.52,78.8,89,75,4.61,MU,1611975837
28,Barrow,71.29,-156.79,-11.2,77,90,9.22,US,1611975838
29,Severo-Kuril'sk,50.68,156.12,24.76,90,100,16.06,RU,1611975569
30,Thompson,55.74,-97.86,10.4,85,90,5.75,CA,1611975838
31,Mindelo,16.89,-24.98,71.6,78,90,19.57,CV,1611975675
32,Leh,34.17,77.58,-0.13,64,0,1.32,IN,1611975839
33,Bluff,-46.6,168.33,54.3,72,0,14.85,NZ,1611975839
34,Boa Vista,2.82,-60.67,82.4,61,0,11.5,BR,1611975840
35,Kupang,-10.17,123.58,78.8,100,75,3.44,ID,1611975840
36,Hualmay,-11.1,-77.61,70.77,78,80,7.67,PE,1611975840
37,Vyborg,60.71,28.75,30.99,94,100,1.01,RU,1611975651
